city,adjusted,type,type_label,race_ethnicity,value,labs,date_of_access,source,geo_level
San Jose,FALSE,% with at least one dose,% with at least one dose,NH White,74.9,% with at least one dose,2021-12-05,State,county
Austin,FALSE,Total Doses,Doses per 1000,Hispanic,1028,Doses per 1000,2021-12-09,State,county
Austin,FALSE,Total Doses,Doses per 1000,NH Asian/PI,1618,Doses per 1000,2021-12-09,State,county
Austin,FALSE,Total Doses,Doses per 1000,NH Black,768,Doses per 1000,2021-12-09,State,county
Austin,FALSE,Total Doses,Doses per 1000,NH White,1316,Doses per 1000,2021-12-09,State,county
Chicago,FALSE,Total Doses,Doses per 1000,Hispanic,1286,Doses per 1000,2021-12-08,LHD,city
Chicago,FALSE,Total Doses,Doses per 1000,NH Asian/PI,1757,Doses per 1000,2021-12-08,LHD,city
Chicago,FALSE,Total Doses,Doses per 1000,NH Black,1057,Doses per 1000,2021-12-08,LHD,city
Chicago,FALSE,Total Doses,Doses per 1000,NH Native American,5973,Doses per 1000,2021-12-08,LHD,city
Chicago,FALSE,Total Doses,Doses per 1000,NH White,1643,Doses per 1000,2021-12-08,LHD,city
Dallas,FALSE,Total Doses,Doses per 1000,Hispanic,1057,Doses per 1000,2021-12-09,State,county
Dallas,FALSE,Total Doses,Doses per 1000,NH Asian/PI,1499,Doses per 1000,2021-12-09,State,county
Dallas,FALSE,Total Doses,Doses per 1000,NH Black,810,Doses per 1000,2021-12-09,State,county
Dallas,FALSE,Total Doses,Doses per 1000,NH White,1152,Doses per 1000,2021-12-09,State,county
Denver,FALSE,Total Doses,Doses per 1000,Hispanic,992,Doses per 1000,2021-12-08,LHD,city
Denver,FALSE,Total Doses,Doses per 1000,NH Asian/PI,1499,Doses per 1000,2021-12-08,LHD,city
Denver,FALSE,Total Doses,Doses per 1000,NH Black,1330,Doses per 1000,2021-12-08,LHD,city
Denver,FALSE,Total Doses,Doses per 1000,NH Native American,2278,Doses per 1000,2021-12-08,LHD,city
Denver,FALSE,Total Doses,Doses per 1000,NH White,1858,Doses per 1000,2021-12-08,LHD,city
Fort Worth,FALSE,Total Doses,Doses per 1000,Hispanic,934,Doses per 1000,2021-12-09,State,county
Fort Worth,FALSE,Total Doses,Doses per 1000,NH Asian/PI,1450,Doses per 1000,2021-12-09,State,county
Fort Worth,FALSE,Total Doses,Doses per 1000,NH Black,870,Doses per 1000,2021-12-09,State,county
Fort Worth,FALSE,Total Doses,Doses per 1000,NH White,1049,Doses per 1000,2021-12-09,State,county
Houston,FALSE,Total Doses,Doses per 1000,Hispanic,1105,Doses per 1000,2021-12-09,State,county
Houston,FALSE,Total Doses,Doses per 1000,NH Asian/PI,1365,Doses per 1000,2021-12-09,State,county
Houston,FALSE,Total Doses,Doses per 1000,NH Black,812,Doses per 1000,2021-12-09,State,county
Houston,FALSE,Total Doses,Doses per 1000,NH White,1069,Doses per 1000,2021-12-09,State,county
San Antonio,FALSE,Total Doses,Doses per 1000,Hispanic,1007,Doses per 1000,2021-12-09,State,county
San Antonio,FALSE,Total Doses,Doses per 1000,NH Asian/PI,1241,Doses per 1000,2021-12-09,State,county
San Antonio,FALSE,Total Doses,Doses per 1000,NH Black,776,Doses per 1000,2021-12-09,State,county
San Antonio,FALSE,Total Doses,Doses per 1000,NH White,1355,Doses per 1000,2021-12-09,State,county
